# Time-averaged data for fix at1
# TimeStep v_pos
100 30.349
200 30.349
300 30.349
400 30.349
500 30.349
600 30.349
700 30.349
800 30.349
900 30.349
1000 30.349
1100 30.349
1200 30.349
1300 30.349
1400 30.349
1500 30.349
1600 30.349
1700 30.349
1800 30.349
1900 30.349
2000 30.349
2100 30.349
2200 30.349
2300 30.349
2400 30.349
2500 30.349
2600 30.349
2700 30.349
2800 30.349
2900 30.349
3000 30.349
3100 30.349
3200 30.349
3300 30.349
3400 30.349
3500 30.349
3600 30.349
3700 30.349
3800 30.349
3900 30.349
4000 30.349
4100 30.349
4200 30.349
4300 30.349
4400 30.349
4500 30.349
4600 30.349
4700 30.349
4800 30.349
4900 30.349
5000 30.349
5100 30.349
5200 30.349
5300 30.349
5400 30.349
5500 30.349
5600 30.349
5700 30.349
5800 30.349
5900 30.349
6000 30.349
6100 30.349
6200 30.349
6300 30.349
6400 30.349
6500 30.349
6600 30.349
6700 30.349
6800 30.349
6900 30.349
7000 30.349
7100 30.349
7200 30.349
7300 30.349
7400 30.349
7500 30.349
7600 30.349
7700 30.349
7800 30.349
7900 30.349
8000 30.349
8100 30.349
8200 30.349
8300 30.349
8400 30.349
8500 30.349
8600 30.349
8700 30.349
8800 30.349
8900 30.349
9000 30.349
9100 30.349
9200 30.349
9300 30.349
9400 30.349
9500 30.349
9600 30.349
9700 30.349
9800 30.349
9900 30.349
10000 30.349
10100 30.3506
10200 30.3536
10300 30.3566
10400 30.3596
10500 30.3626
10600 30.3656
10700 30.3686
10800 30.3716
10900 30.3746
11000 30.3776
11100 30.3806
11200 30.3836
11300 30.3866
11400 30.3896
11500 30.3926
11600 30.3956
11700 30.3986
11800 30.4016
11900 30.4046
12000 30.4076
12100 30.4106
12200 30.4136
12300 30.4166
12400 30.4196
12500 30.4226
12600 30.4256
12700 30.4286
12800 30.4316
12900 30.4346
13000 30.4376
13100 30.4406
13200 30.4436
13300 30.4466
13400 30.4496
13500 30.4526
13600 30.4556
13700 30.4586
13800 30.4616
13900 30.4646
14000 30.4676
14100 30.4706
14200 30.4736
14300 30.4766
14400 30.4796
14500 30.4826
14600 30.4856
14700 30.4886
14800 30.4916
14900 30.4946
15000 30.4976
15100 30.5006
15200 30.5036
15300 30.5066
15400 30.5096
15500 30.5126
15600 30.5156
15700 30.5186
15800 30.5216
15900 30.5246
16000 30.5276
16100 30.5306
16200 30.5336
16300 30.5366
16400 30.5396
16500 30.5426
16600 30.5456
16700 30.5486
16800 30.5516
16900 30.5546
17000 30.5576
17100 30.5606
17200 30.5636
17300 30.5666
17400 30.5696
17500 30.5726
17600 30.5756
17700 30.5786
17800 30.5816
17900 30.5846
