# Time-averaged data for fix at2
# TimeStep f_mysf1[3] f_mysf2[3]
100 12.1549 -12.3045
200 8.9861 -8.82157
300 7.88272 -8.32736
400 13.296 -11.6343
500 14.4651 -16.133
600 7.86831 -8.36415
700 6.88616 -6.03286
800 14.2344 -13.6356
900 13.1402 -15.8553
1000 8.77323 -5.80932
1100 10.4238 -9.0314
1200 12.2035 -13.3575
1300 9.51145 -13.9978
1400 11.8984 -9.78061
1500 11.6576 -6.31007
1600 11.0173 -12.8634
1700 10.5447 -16.0641
1800 8.63337 -8.05276
1900 13.1641 -7.05738
2000 13.2016 -16.2426
2100 7.70798 -12.3465
2200 9.03422 -6.39501
2300 16.3512 -9.99741
2400 10.6987 -15.1418
2500 7.83356 -11.3333
2600 10.8256 -9.95553
2700 12.186 -6.73613
2800 12.8747 -15.2479
2900 12.6173 -12.8938
3000 6.37174 -8.79003
3100 11.4517 -8.24228
3200 14.4744 -15.7251
3300 10.8358 -11.5853
3400 8.06699 -9.88598
3500 13.4152 -6.8242
3600 9.45697 -13.0229
3700 13.4512 -15.9629
3800 9.62523 -11.2347
3900 10.6179 -2.99484
4000 10.5325 -15.4549
4100 14.3486 -14.3395
4200 9.94802 -8.45064
4300 10.8698 -7.89715
4400 8.43356 -13.1326
4500 11.8872 -14.5501
4600 13.3292 -10.9915
4700 11.9791 -5.20015
4800 7.60078 -10.7207
4900 11.2826 -17.1337
5000 12.8847 -12.2696
5100 11.3644 -5.48484
5200 8.88655 -10.6906
5300 11.2911 -16.4251
5400 13.8823 -9.30999
5500 9.91008 -7.92945
5600 10.0046 -10.895
5700 10.2843 -15.4568
5800 11.9874 -10.0539
5900 12.3297 -10.7776
6000 11.7313 -7.43808
6100 7.49599 -14.0924
6200 16.8179 -13.4398
6300 7.74307 -8.99403
6400 9.85209 -7.39739
6500 12.3861 -18.0776
6600 14.096 -8.51922
6700 8.19239 -10.0994
6800 11.8745 -9.53354
6900 9.29711 -14.3185
7000 13.7084 -11.7281
7100 9.71288 -12.6785
7200 10.6493 -3.69867
7300 11.4225 -14.4741
7400 14.3243 -13.0143
7500 5.69555 -10.5496
7600 12.3271 -7.35192
7700 11.7106 -14.7127
7800 12.9819 -10.0932
7900 9.6648 -12.176
8000 10.7498 -8.30738
8100 8.7338 -11.0245
8200 15.9408 -14.5255
8300 9.44925 -12.1916
8400 7.24883 -5.88642
8500 13.6844 -12.2364
8600 14.8136 -12.4482
8700 7.8618 -11.2649
8800 10.4467 -10.9968
8900 10.8683 -10.2464
9000 12.5974 -10.9815
9100 13.2815 -13.3223
9200 8.47631 -10.7022
9300 8.03061 -7.93922
9400 15.0098 -14.1732
9500 12.7827 -12.7509
9600 6.1894 -8.18348
9700 12.2699 -10.6039
9800 13.7173 -11.8919
9900 10.4992 -10.5287
10000 9.79218 -12.3052
10100 11.5366 -10.0701
10200 11.0421 -10.2359
10300 13.1318 -11.8522
10400 10.5478 -13.8176
10500 8.53559 -9.53567
10600 12.9471 -10.7861
10700 14.4576 -13.2133
10800 8.64003 -12.4701
10900 9.47167 -11.0187
11000 15.0406 -10.4059
11100 13.6384 -10.1471
11200 10.1795 -14.7604
11300 10.8491 -13.3966
11400 11.3409 -9.55535
11500 14.3211 -11.2505
11600 13.4115 -14.5793
11700 10.6498 -12.4165
11800 11.7761 -11.1288
11900 13.6235 -12.0407
12000 12.2505 -14.8069
12100 12.0757 -12.6481
12200 12.2887 -10.2634
12300 13.1732 -11.4572
12400 13.8532 -16.3446
12500 12.7933 -12.5404
12600 10.281 -10.8695
12700 14.1338 -13.6587
12800 14.7298 -14.7704
12900 14.3891 -12.0036
13000 10.7251 -12.727
13100 12.2422 -14.0063
13200 15.3521 -15.0592
13300 15.4562 -12.4822
13400 10.7626 -11.6997
13500 13.4103 -14.037
13600 15.5133 -15.8176
13700 14.2789 -12.8043
13800 11.5749 -12.7089
13900 13.3535 -14.8877
14000 15.8167 -15.1861
14100 15.3513 -12.3739
14200 13.9346 -13.4549
14300 12.8824 -15.9164
14400 13.7833 -15.4457
14500 15.4823 -13.3995
14600 15.7504 -13.7553
14700 11.4941 -15.4973
14800 15.3313 -14.7601
14900 17.1092 -13.515
15000 13.8472 -12.663
15100 11.6596 -18.31
15200 16.4945 -15.1666
15300 15.9732 -13.8304
15400 17.1289 -13.3098
15500 12.4829 -16.7992
15600 13.9711 -14.6049
15700 17.6035 -17.1497
15800 17.005 -14.9
15900 10.9095 -14.1023
16000 16.1263 -15.1947
16100 18.4824 -15.8286
16200 16.2242 -15.4705
16300 13.4305 -16.4958
16400 13.2109 -15.6594
16500 18.7345 -16.1278
16600 16.8932 -16.4178
16700 14.9102 -15.4154
16800 15.8596 -16.1365
16900 16.8871 -14.0535
17000 15.8982 -20.1248
17100 16.6285 -16.1384
17200 14.4484 -14.7052
17300 19.5959 -15.779
17400 16.1499 -18.2759
17500 16.2083 -15.2612
17600 15.814 -17.9561
17700 18.0637 -16.0575
17800 15.2247 -16.9544
17900 18.2089 -17.7669
18000 19.184 -17.1251
18100 16.2631 -15.3494
18200 15.6381 -17.9245
18300 16.6818 -19.7365
18400 17.5891 -15.4003
18500 18.0787 -16.9377
18600 18.2574 -17.4262
18700 15.8922 -18.671
18800 18.7932 -14.865
18900 17.5517 -20.2026
19000 16.8837 -17.1418
19100 15.4678 -19.6139
19200 23.2257 -15.9332
19300 15.1909 -17.339
19400 18.4005 -15.8778
19500 17.6296 -23.8281
19600 19.8796 -14.2712
19700 13.5502 -18.4152
19800 21.3446 -19.7202
19900 18.3379 -18.659
20000 18.5722 -13.8868
20100 18.5089 -20.2812
20200 17.3254 -20.2746
20300 18.871 -20.0774
20400 19.2298 -17.8285
20500 19.0522 -16.2703
20600 17.6674 -20.2249
20700 21.2919 -19.5476
20800 18.0458 -20.3556
20900 18.317 -15.5047
21000 17.7423 -21.917
21100 21.5434 -19.4414
21200 17.2884 -19.1216
21300 22.8917 -16.6393
21400 17.2178 -22.1097
21500 20.2876 -18.261
21600 18.7344 -23.0423
21700 21.0327 -16.6259
21800 16.7949 -19.3988
21900 21.9336 -18.7252
22000 21.3354 -22.4924
22100 20.9236 -18.8486
22200 16.6334 -20.4483
22300 20.0284 -21.1371
22400 22.0283 -19.3545
22500 19.5257 -20.064
22600 21.3768 -19.4085
22700 19.8515 -21.953
22800 21.3452 -18.9746
22900 16.8938 -22.4612
23000 21.8083 -19.6351
23100 19.795 -21.1438
23200 25.1068 -18.0607
